,hour,date,month,value
0,7.0,3.0,1.0,2.023
1,10.0,3.0,1.0,0.55
2,13.0,3.0,1.0,0.643
3,15.0,3.0,1.0,0.58
4,16.0,3.0,1.0,1.8920000000000003
5,17.0,3.0,1.0,3.2520000000000007
6,16.0,8.0,1.0,2.721
7,6.0,9.0,1.0,1.957
8,7.0,9.0,1.0,2.387
9,16.0,9.0,1.0,1.1980000000000002
10,17.0,9.0,1.0,2.519
11,7.0,10.0,1.0,2.023
12,10.0,10.0,1.0,0.55
13,16.0,10.0,1.0,1.8920000000000003
14,17.0,10.0,1.0,3.2520000000000007
15,16.0,22.0,1.0,2.721
16,17.0,22.0,1.0,3.168
17,13.0,23.0,1.0,0.515
18,14.0,23.0,1.0,0.992
19,10.0,24.0,1.0,0.55
20,13.0,29.0,1.0,0.602
21,14.0,29.0,1.0,0.901
22,6.0,30.0,1.0,1.957
23,7.0,30.0,1.0,2.387
24,10.0,30.0,1.0,0.605
25,11.0,30.0,1.0,0.789
26,16.0,30.0,1.0,1.1980000000000002
27,17.0,21.0,2.0,3.2520000000000007
28,8.0,24.0,5.0,0.284
29,9.0,24.0,5.0,0.302
30,11.0,24.0,5.0,0.37
31,16.0,12.0,11.0,4.752000000000001
32,17.0,12.0,11.0,3.49
33,10.0,3.0,12.0,2.363
34,11.0,3.0,12.0,3.608
0,16.0,1.0,1.0,2.721
1,10.0,2.0,1.0,0.605
2,11.0,2.0,1.0,0.789
3,14.0,2.0,1.0,0.992
4,16.0,2.0,1.0,1.1980000000000002
5,17.0,2.0,1.0,2.519
6,18.0,2.0,1.0,1.855
7,15.0,3.0,1.0,0.58
8,16.0,3.0,1.0,1.8920000000000003
9,17.0,3.0,1.0,3.2520000000000007
10,18.0,3.0,1.0,1.7510000000000003
11,21.0,3.0,1.0,0.4559999999999999
12,8.0,6.0,1.0,0.782
13,9.0,6.0,1.0,0.506
14,10.0,8.0,1.0,0.662
15,11.0,8.0,1.0,1.0
16,12.0,8.0,1.0,0.923
17,13.0,8.0,1.0,0.602
18,14.0,8.0,1.0,0.901
19,15.0,8.0,1.0,0.915
20,16.0,8.0,1.0,2.721
21,17.0,8.0,1.0,3.168
22,18.0,8.0,1.0,1.888
23,11.0,10.0,1.0,0.522
24,16.0,15.0,1.0,2.721
25,16.0,16.0,1.0,1.1980000000000002
26,8.0,20.0,1.0,0.782
27,9.0,20.0,1.0,0.506
28,6.0,22.0,1.0,1.909
29,17.0,23.0,1.0,2.519
30,8.0,27.0,1.0,0.782
31,9.0,27.0,1.0,0.506
32,7.0,29.0,1.0,1.84
33,14.0,30.0,1.0,0.992
34,16.0,30.0,1.0,1.1980000000000002
35,9.0,19.0,2.0,0.593
36,10.0,19.0,2.0,0.662
37,11.0,19.0,2.0,1.0
38,12.0,19.0,2.0,0.923
39,15.0,19.0,2.0,0.915
40,16.0,19.0,2.0,2.721
41,17.0,19.0,2.0,3.168
42,18.0,19.0,2.0,1.888
43,5.0,20.0,2.0,0.523
44,6.0,20.0,2.0,1.957
45,7.0,20.0,2.0,2.387
46,14.0,20.0,2.0,0.992
47,16.0,20.0,2.0,1.1980000000000002
48,17.0,20.0,2.0,2.519
49,18.0,20.0,2.0,1.855
50,16.0,12.0,3.0,2.721
51,17.0,12.0,3.0,3.168
52,14.0,13.0,3.0,0.992
53,16.0,13.0,3.0,1.1980000000000002
54,17.0,13.0,3.0,2.519
55,18.0,13.0,3.0,1.855
56,17.0,14.0,3.0,3.2520000000000007
57,17.0,18.0,3.0,2.276
58,9.0,23.0,6.0,0.312
59,17.0,9.0,8.0,0.647
